CustomerID	Full Name	Age	Telephone	City
C35000	Loretta Mills	34	9719577943	Bangalore
C34999	Casandra Hill	51	8758822696	Bangalore
C1002	Lucinda Bobeck	20	5511800011	Delhi
C34995	Mark Adank	53	642610180	Chennai
C34992	Julio Richard	30	9920945849	Punjab
C34991	Rebecca Marcus	56	5618336058	Gujarat
C1006	Milton Monro	40	5344900128	Delhi
C1007	Derek Davis	43	4788823724	Punjab
C34989	Ricardo Kim	59	7627060235	Mumbai
C1009	Jeffrey Bradley	29	5451885955	Bangalore
C34986	Brenda Brown	47	2221054708	Chennai
C1011	Robert Braund	57	4366688540	Hyderabad
C1012	Jean Alexander	57	2834097014	Chennai
C1013	Rosalie Hoover	48	164122770	Lucknow
C34984	Leticia Thomas	50	8703253071	Chennai
C34983	Charles Walters	56	86445085	Kolkata
C34981	James Romito	26	5379247644	Bangalore
C34979	Diane Cullen	32	5371719543	Hyderabad
C1018	Harley Strayhorn	31	638724267	Gujarat
C1019	Yvonne Crow	35	3666918807	Punjab
C1020	Crystal Eldred	25	4147773211	Rajasthan
C34978	Shantae Soderlund	23	4406829075	Delhi
C34976	Megan Nicholas	24	9702828341	Chennai
C34975	Cornelia Horne	27	2277669475	Rajasthan
C34974	Hazel Northcutt	28	4851475867	Rajasthan
C34973	Clyde Demars	45	6019324172	Kolkata
C1026	Jeff Soriano	33	1812247570	Lucknow
C34972	Maria Nickerson	46	6413341747	Mumbai
C1028	Dawn Sams	59	283397824	Rajasthan
C34968	Delmer Powers	36	37306864	Lucknow
C1030	Ellen Moore	36	1936798263	Rajasthan
C34967	Dora Robinson	48	8615944097	Gujarat
C34957	Yolande Ingles	20	9327862931	Gujarat
C34956	Norma Lima	57	5097572477	Hyderabad
C1034	John Rooney	40	4189823885	Delhi
C34954	Robert Coleman	31	6208544364	Gujarat
C1036	Darlene Fleming	49	526619863	Delhi
C34953	Brian Hagans	34	3900535425	Chennai
C34952	Gloria Benton	26	7749289471	Chennai
C34950	Louis Wright	46	3615619500	Hyderabad
C1040	Steven Gonzales	43	1071643028	Delhi
C34945	Jose Drake	45	9536288135	Rajasthan
C34944	Russell Tolbert	41	6636844079	Rajasthan
C1043	Aline Wallace	30	7136549579	Delhi
C34943	Kathryn Kathan	42	7205680650	Kolkata
C1045	Theresa Brown	41	5837773885	Mumbai
C34942	John Flores	48	1451607220	Bangalore
C1047	Diana Bunch	31	4338456818	Lucknow
C1048	Arthur Zickefoose	42	9135583077	Lucknow
C1049	Henry White	44	3144146515	Mumbai
C34941	Lori Biggs	56	5823990638	Delhi
C1051	Margaret Lawson	42	1200356318	Rajasthan
C1052	Barbara Savage	46	533440538	Bangalore
C34940	Horace Lowery	48	4576868175	Lucknow
C34937	Harry Miller	29	7660308807	Bangalore
C1055	David Wilt	34	7930121872	Gujarat
C1056	Linda Harrison	42	482723027	Delhi
C1057	Brian Schneider	35	8065884766	Gujarat
C1058	Blanche Beem	53	7979408809	Rajasthan
C34936	Tammy Gaddis	20	4098735277	Chennai
C1060	Paul Quilliams	59	4565128548	Gujarat
C1061	Lisa Williams	46	3313387038	Hyderabad
C34935	Jenny Lafave	30	1212119387	Punjab
C1063	Christine Stephens	24	8572554722	Hyderabad
C34933	Michael Collins	36	4570900320	Bangalore
C34930	Walter Craig	55	4245940475	Delhi
C34928	Linda Randhawa	39	3937370667	Chennai
C1067	Freeda Gober	24	6780267799	Gujarat
C1068	James Green	32	9667000073	Lucknow
C1069	Doris Martinez	60	4018786563	Chennai
C1070	Jolene Walker	42	4166269114	Mumbai
C34927	Marsha Keenan	26	6717243583	Rajasthan
C34926	Monique Morgan	41	8343596620	Gujarat
C34925	Brandon Casey	23	1147699076	Kolkata
C34924	David Noonkester	20	6949623811	Rajasthan
C1075	Patricia Marchant	28	7770479796	Rajasthan
C34922	Connie Piraino	58	6959790232	Hyderabad
C1077	Amelia Chang	43	1925722451	Rajasthan
C1078	Thomas Doman	37	5953794112	Hyderabad
C1079	Glenda Wiese	46	2190326954	Mumbai
C1080	Royce Sanchez	24	3748828603	Bangalore
C34919	Chi Maloney	50	5815098586	Bangalore
C34918	Christopher Jimerez	47	1770531949	Hyderabad
C34917	Johnnie Singleton	26	1157869153	Chennai
C1084	Christopher Hornback	35	9753164038	Rajasthan
C1085	Claire Young	26	7472507851	Rajasthan
C1086	Aileen Chancellor	29	7178169781	Kolkata
C34916	Bruce Fraley	48	8420253787	Kolkata
C34915	Thomas Johns	46	4110660819	Rajasthan
C1089	Michael Bruce	25	725932368	Gujarat
C1090	Julian Herman	30	7481545019	Rajasthan
C34913	Edward Floyd	32	7772744541	Chennai
C34912	Timothy Dunn	22	6543889109	Kolkata
C1093	Tammy Willis	60	2844282054	Bangalore
C34910	Rebecca Phifer	37	5965873033	Bangalore
C34909	Juan Espinosa	46	3289535924	Gujarat
C1096	William Staton	21	277181731	Kolkata
C1097	Emil Mccall	21	3364905734	Mumbai
C34908	Pamela Brandt	29	8922070450	Delhi
C1099	Helen Blaylock	23	5646416088	Hyderabad
C34907	Larry Obrien	21	2976522790	Mumbai
C1101	Hector Lester	36	207484044	Rajasthan
C1102	Annie Payne	47	9921977938	Delhi
C1103	Joseph Quinn	31	5740381615	Kolkata
C1104	Alejandro Lamarre	33	9109939195	Rajasthan
C1105	Ellen Braden	35	503978381	Delhi
C1106	Beth Mciver	22	4493730258	Lucknow
C1107	Tommy Small	29	4698383838	Delhi
C1108	Roger Cooper	46	6043328136	Delhi
C34906	Gerald Fowlkes	58	9963531151	Rajasthan
C1110	Agustin Rodriguez	54	7436363478	Bangalore
C1111	Dee Dickson	26	1095337398	Punjab
C34903	Patsy Charles	30	8084879574	Rajasthan
C1113	Dwayne Chick	35	9037346773	Hyderabad
C1114	Ervin Brew	51	9404764122	Mumbai
C34901	William Goode	48	9948942125	Bangalore
C1116	Shirley Foran	35	4109054588	Kolkata
C34898	Lee Silva	39	7569057504	Gujarat
C34894	Eric Luthy	57	8169870113	Hyderabad
C34893	Vanessa Shortt	42	9415429788	Gujarat
C1120	Shannon Seamons	24	3349563934	Hyderabad
C34889	Gabriel Pancoast	38	4684918998	Lucknow
C1122	Guadalupe Sanders	52	800714902	Hyderabad
C34888	John Campbell	55	570616882	Lucknow
C1124	Reyes Estrella	54	2646091978	Lucknow
C1125	Marguerite Hayes	20	7210268753	Kolkata
C1126	Maria Kerr	28	7036582901	Bangalore
C1127	Paulette Pope	55	3211693155	Rajasthan
C34887	Sally Alberding	55	9374517362	Hyderabad
C34881	Amanda Ford	40	7194046975	Hyderabad
C1130	Eduardo Figueroa	25	3916668836	Gujarat
C1131	Deborah Drake	22	5752209064	Lucknow
C1132	Dorothy Wilson	57	2924688705	Chennai
C34880	Dorothy Albero	27	5920168336	Delhi
C34878	Tonya Shipley	60	2753111549	Delhi
C34877	Justin Wheat	60	2430975654	Mumbai
C1136	Travis Lee	55	2105933265	Bangalore
C34874	Helen Keeney	31	7771681314	Punjab
C1138	Kent Laverty	30	5599813558	Lucknow
C34873	Erin Ulrich	48	1178270421	Mumbai
C34872	Keith Feyh	37	8711197186	Chennai
C1141	Diane Bejaran	34	3039483482	Chennai
C34870	Teresa Stanley	58	8728003779	Kolkata
C34869	Kevin Reich	53	6676910794	Mumbai
C1144	Heather Thompson	25	5609183441	Punjab
C1145	Loni Felton	50	7160629372	Kolkata
C34868	Max Byrd	53	2112643744	Rajasthan
C34867	Al Coffman	20	3438286874	Lucknow
C1148	John Hebert	34	5594138429	Hyderabad
C34863	Steven Piedra	48	322174099	Gujarat
C1150	David Casey	36	6336054174	Mumbai
C1151	Tiffany Shook	24	4314324411	Kolkata
C34858	Joseph Tarnowski	37	5132022687	Chennai
C34856	Richard Boone	21	7582190072	Hyderabad
C1154	Margaret Jankowski	53	1825480200	Bangalore
C1155	Brittany Clawson	33	8178310167	Punjab
C34855	Carlos Godwin	46	2455357597	Hyderabad
